date,hotel_code,room_code,available
2024-09-02,GLRS,CD2,0
2024-09-02,GLRS,CQ1,0
2024-09-02,GLRS,SD2,1
2024-09-02,GLRS,SD2M,0
2024-09-02,GLRS,SQ1,0
2024-09-02,GLRS,SQ1M,0
2024-09-02,GLRS,SQ1MA,0
2024-09-03,GLRS,CD2,0
2024-09-03,GLRS,CQ1,0
2024-09-03,GLRS,SD2,0
2024-09-03,GLRS,SD2M,0
2024-09-03,GLRS,SQ1,0
2024-09-03,GLRS,SQ1M,0
2024-09-03,GLRS,SQ1MA,0
2024-09-04,GLRS,CD2,0
2024-09-04,GLRS,CQ1,0
2024-09-04,GLRS,SD2,0
2024-09-04,GLRS,SD2M,0
2024-09-04,GLRS,SQ1,0
2024-09-04,GLRS,SQ1M,0
2024-09-04,GLRS,SQ1MA,0
2024-09-05,GLRS,CD2,0
2024-09-05,GLRS,CQ1,0
2024-09-05,GLRS,SD2,0
2024-09-05,GLRS,SD2M,0
2024-09-05,GLRS,SQ1,0
2024-09-05,GLRS,SQ1M,0
2024-09-05,GLRS,SQ1MA,0
2024-09-06,GLRS,CD2,0
2024-09-06,GLRS,CQ1,0
2024-09-06,GLRS,SD2,0
2024-09-06,GLRS,SD2M,0
2024-09-06,GLRS,SQ1,0
2024-09-06,GLRS,SQ1M,0
2024-09-06,GLRS,SQ1MA,0
2024-09-07,GLRS,CD2,0
2024-09-07,GLRS,CQ1,0
2024-09-07,GLRS,SD2,0
2024-09-07,GLRS,SD2M,0
2024-09-07,GLRS,SQ1,0
2024-09-07,GLRS,SQ1M,0
2024-09-07,GLRS,SQ1MA,0
2024-09-08,GLRS,CD2,0
2024-09-08,GLRS,CQ1,0
2024-09-08,GLRS,SD2,0
2024-09-08,GLRS,SD2M,0
2024-09-08,GLRS,SQ1,0
2024-09-08,GLRS,SQ1M,0
2024-09-08,GLRS,SQ1MA,0
